sampleID,events / ml this is also per g that was put into the tube wet weight,Timepoint,BactWetWeight,LitterWetWeight,LitterDryWeight,Bacterialdryweight,cellspergdryweight,sampleID2,Location,Treatment,hyphae_cm/gdrylitter
X01,2.18E+07,0,0.105,0.5027,0.4462,0.093198727,2.34E+08,X01,Desert,Sterile control 1,2368.78
X01A,4.19E+07,0,0.1036,0.5027,0.4462,0.091956077,4.55E+08,X01A,Desert,Sterile control 2,2297.82
X01B,2.43E+07,0,0.1036,0.5027,0.4462,0.091956077,2.64E+08,X01B,Desert,Sterile control 3,2206.87
X02,6.00E+07,0,0.1023,0.5054,0.4551,0.092118579,6.51E+08,X02,Grassland,Sterile control 1,1949.13
X02A,4.80E+07,0,0.1035,0.5054,0.4551,0.093199149,5.15E+08,X02A,Grassland,Sterile control 2,665.6
X02B,4.83E+07,0,0.1,0.5054,0.4551,0.090047487,5.36E+08,X02B,Grassland,Sterile control 3,1901.77
X03,5.16E+07,0,0.105,0.5172,0.4636,0.094118329,5.48E+08,X03,Oak,Sterile control 1,956.06
X03A,1.98E+07,0,0.1119,0.5172,0.4636,0.100303248,1.97E+08,X03A,Oak,Sterile control 2,1989.8
X03B,3.65E+07,0,0.0949,0.5172,0.4636,0.085065043,4.28E+08,X03B,Oak,Sterile control 3,924.05
X04,2.18E+07,0,0.1038,0.4995,0.4448,0.092432913,2.35E+08,X04,Shrubland,Sterile control 1,1203.27
X04A,3.02E+07,0,0.1026,0.4995,0.4448,0.091364324,3.31E+08,X04A,Shrubland,Sterile control 2,1483.8
X04B,3.92E+07,0,0.1067,0.4995,0.4448,0.095015335,4.12E+08,X04B,Shrubland,Sterile control 3,1120.67
X05,3.61E+07,0,0.103,0.5041,0.4496,0.091864313,3.93E+08,X05,,Sterile control 5,831.7
X06,2.09E+07,0,0.1028,0.5047,0.4501,0.091678779,2.27E+08,X06,,Sterile control 6,2038.19
X07,3.17E+07,0,0.1061,0.503,0.4439,0.093633777,3.39E+08,X07,,Sterile control 7,1103.46
X08,2.90E+07,0,0.1092,0.5025,0.4484,0.097443343,2.97E+08,X08,,Sterile control 8,2878.13
X09,4.64E+07,0,0.1017,0.5063,0.4507,0.090531681,5.13E+08,X09,,Sterile control 9,1694.46
X10,7.52E+07,0,0.1063,0.5082,0.4481,0.093728906,8.03E+08,X10,,Sterile control 10,1231.65
X11,2.78E+07,0,0.1114,0.5055,0.456,0.100491395,2.77E+08,X11,,Sterile control 11,787.43
X12,2.03E+07,0,0.1003,0.5045,0.4465,0.088768979,2.28E+08,X12,,Sterile control 12,1977.97
ZD01,5.55E+07,0,0.107,0.5046,0.4511,0.095655371,5.80E+08,ZD01,Desert,Desert inoculum 1,936.74
ZD02,4.24E+07,0,0.1035,0.5038,0.4493,0.092303593,4.59E+08,ZD02,Desert,Desert inoculum 2,3316.45
ZD03,8.49E+07,0,0.1001,0.5025,0.4461,0.088864896,9.55E+08,ZD03,Desert,Desert inoculum 3,1188.94
ZD04,9.82E+07,0,0.1004,0.5023,0.4469,0.089326618,1.10E+09,ZD04,Desert,Desert inoculum 4,1571.82
ZG01,4.94E+07,0,0.1045,0.5055,0.4465,0.092303165,5.35E+08,ZG01,Grassland,Grassland inoculum 1,816.96
ZG02,8.92E+07,0,0.1008,0.5009,0.4382,0.088182392,1.01E+09,ZG02,NA,NA,NA
ZG03,1.17E+08,0,0.1049,0.4969,0.4527,0.095568988,1.22E+09,ZG03,NA,NA,NA
ZG04,6.28E+07,0,0.1023,0.5004,0.4508,0.092159952,6.82E+08,ZG04,NA,NA,NA
ZP01,1.59E+08,0,0.1021,0.5014,0.4356,0.088701157,1.79E+09,ZP01,Oak,Oak pine inoculum 1,1632.21
ZP02,2.93E+08,0,0.1028,0.5001,0.4386,0.090158128,3.25E+09,ZP02,Oak,Oak pine inoculum 2,2119.09
ZP03,4.82E+07,0,0.1018,0.5045,0.4441,0.08961225,5.38E+08,ZP03,Oak,Oak pine inoculum 3,1464.88
ZP04,1.19E+08,0,0.1009,0.5,0.4422,0.08923596,1.33E+09,ZP04,Oak,Oak pine inoculum 4,1832.14
ZS01,7.81E+07,0,0.1015,0.5009,0.4404,0.089240567,8.75E+08,ZS01,Subalpine,Subalpine inoculum 1,1146.15
ZS02,1.00E+08,0,0.1017,0.5005,0.4493,0.091296324,1.10E+09,ZS02,Subalpine,Subalpine inoculum 2,968.56
ZS03,1.28E+08,0,0.1014,0.5025,0.4475,0.090301493,1.42E+09,ZS03,Subalpine,Subalpine inoculum 3,1173.79
ZS04,6.42E+07,0,0.1005,0.5002,0.4465,0.089710616,7.15E+08,ZS04,Subalpine,Subalpine inoculum 4,1047.93
ZW01,2.76E+07,0,0.104,0.5006,0.4422,0.091867359,3.00E+08,ZW01,Shrubland,Shrubland inoculum 1,3405.05
ZW02,7.68E+07,0,0.1015,0.5023,0.4514,0.091214613,8.42E+08,ZW02,Shrubland,Shrubland inoculum 2,3954.34
ZW03,5.56E+07,0,0.1012,0.5019,0.4536,0.091461088,6.08E+08,ZW03,Shrubland,Shrubland inoculum 3,3069.49
